"Name","Price","Year","Mileage","Fuel","Transmission","Source"
"Mercedes-Benz CLA Shooting Brake",22490,"2021",27525,"Petrol","Semiauto","TheAA"
"Audi A4",22610,"2022",28101,"Diesel","Semiauto","TheAA"
"Mercedes-Benz A-Class",22650,"2022",18254,"Petrol","Semiauto","TheAA"
"Audi A5 Sportback",23860,"2021",36694,"Diesel","Semiauto","TheAA"
"Mercedes-Benz EQC",23960,"2020",38498,"Electric","Automatic","TheAA"
"Mercedes-Benz A-Class",24590,"2021",15875,"Petrol","Semiauto","TheAA"
"Mercedes-Benz A-Class",24880,"2022",17998,"Petrol","Semiauto","TheAA"
"Mercedes-Benz GLC",25090,"2019",54000,"Diesel","Semiauto","TheAA"
"Mercedes-Benz A-Class",27090,"2024",7479,"Hybrid","Semiauto","TheAA"
"Mercedes-Benz A-Class",27500,"2023",6974,"Diesel","Semiauto","TheAA"
"Volkswagen T-Roc",27570,"2024",3496,"Petrol","Semiauto","TheAA"
"Mercedes-Benz A-Class Saloon",27650,"2024",3710,"Hybrid","Semiauto","TheAA"
"Mercedes-Benz CLA",28600,"2023",14422,"Diesel","Semiauto","TheAA"
"Mercedes-Benz A-Class",28770,"2024",4695,"Hybrid","Semiauto","TheAA"
"Mercedes-Benz CLA Class",29520,"2021",48755,"Petrol","Semiauto","TheAA"
"Mercedes-Benz A-Class",30330,"2024",4957,"Hybrid","Semiauto","TheAA"
"Mercedes-Benz GLC",30680,"2022",47047,"Hybrid","Semiauto","TheAA"
"Mercedes-Benz GLB",31270,"2022",9857,"Petrol","Semiauto","TheAA"
"Mercedes-Benz A-Class",31290,"2024",2527,"Diesel","Semiauto","TheAA"
"Mercedes-Benz CLA Shooting Brake",31490,"2023",11022,"Diesel","Semiauto","TheAA"
"Mercedes-Benz B-Class",31600,"2024",3319,"Hybrid","Semiauto","TheAA"
"Mercedes-Benz A-Class",31610,"2024",3092,"Hybrid","Semiauto","TheAA"
"Audi Q5 Sportback",32390,"2022",32060,"Petrol","Semiauto","TheAA"
"BMW X1",32770,"2023",14391,"Diesel","Semiauto","TheAA"
"Mercedes-Benz GLA",33850,"2024",10994,"Diesel","Semiauto","TheAA"
"Mercedes-Benz CLA",35740,"2024",7007,"Diesel","Semiauto","TheAA"
"Mercedes-Benz EQB",36440,"2024",5495,"Electric","Automatic","TheAA"
"Mercedes-Benz EQB",36500,"2024",4384,"Electric","Automatic","TheAA"
"Mercedes-Benz EQB",36740,"2024",3681,"Electric","Automatic","TheAA"
"Mercedes-Benz EQB",36900,"2024",2822,"Electric","Automatic","TheAA"
"Mercedes-Benz CLA Shooting Brake",38750,"2024",9320,"Petrol","Semiauto","TheAA"
"Mercedes-Benz GLA",41450,"2024",4045,"Diesel","Semiauto","TheAA"
"Mercedes-Benz GLB",41860,"2024",3958,"Hybrid","Semiauto","TheAA"
"Mercedes-Benz GLA",43470,"2024",2765,"Hybrid","Semiauto","TheAA"
"Mercedes-Benz GLC",47820,"2024",4453,"Hybrid","Semiauto","TheAA"
"Mercedes-Benz A-Class",48070,"2023",18788,"Petrol","Semiauto","TheAA"
"Mercedes-Benz CLA",50340,"2023",9133,"Petrol","Semiauto","TheAA"
"Mercedes-Benz CLA",55200,"2024",3475,"Petrol","Semiauto","TheAA"
"Mercedes-Benz GLS",71350,"2023",19344,"Diesel","Semiauto","TheAA"
"Mercedes-Benz GLE",72040,"2024",4168,"Diesel","Semiauto","TheAA"
"Mercedes-Benz GLE",72300,"2023",9076,"Hybrid","Semiauto","TheAA"
"Mercedes-Benz GLS",72830,"2023",14592,"Diesel","Semiauto","TheAA"
"Mercedes-Benz V-Class",79980,"2024",4345,"Diesel","Semiauto","TheAA"
"Mercedes-Benz SL-Class",98060,"2024",3345,"Petrol","Semiauto","TheAA"
"Mercedes-Benz GLE",106810,"2024",1978,"Hybrid","Semiauto","TheAA"
"Mercedes-Benz AMG GT 4-Door",127981,"2024",7774,"Petrol","Semiauto","TheAA"
"Mercedes-Benz G-Class",153540,"2024",4418,"Hybrid","Semiauto","TheAA"
"Ford Fiesta",7763,"2016",34189,"Petrol","Manual","TheAA"
"Ford EcoSport",7812,"2017",36780,"Petrol","Manual","TheAA"
"Audi A1",8864,"2017",83496,"Diesel","Manual","TheAA"
"Nissan Micra",9239,"2018",29463,"Petrol","Manual","TheAA"
"Renault Captur",9312,"2019",42163,"Petrol","Manual","TheAA"
"Fiat 500",10143,"2021",20115,"Petrol","Manual","TheAA"
"SEAT Arona",11253,"2018",28550,"Petrol","Manual","TheAA"
"Ford Focus",11404,"2018",28983,"Petrol","Manual","TheAA"
"Ford Focus",13564,"2020",24882,"Petrol","Manual","TheAA"
"Ford Fiesta",13673,"2021",4774,"Petrol","Manual","TheAA"
"Ford Transit",14000,"2021",55100,"Diesel","Manual","TheAA"
"Ford Transit Connect",14000,"2019",24406,"Diesel","Manual","TheAA"
"Hyundai i20",14115,"2023",7040,"Petrol","Manual","TheAA"
"Renault Captur",14283,"2023",27422,"Petrol","Manual","TheAA"
"Hyundai KONA",14640,"2023",18901,"Petrol","Manual","TheAA"
"Citroen C3",14901,"2024",12413,"Petrol","Automatic","TheAA"
"Ford Fiesta",15184,"2022",12520,"Petrol","Manual","TheAA"
"Volkswagen T-Cross",15205,"2021",24551,"Petrol","Manual","TheAA"
"Volkswagen Polo",15523,"2021",25230,"Petrol","Manual","TheAA"
"Kia Ceed",15704,"2023",25759,"Petrol","Manual","TheAA"
"Ford Puma",15971,"2023",21684,"Petrol","Manual","TheAA"
"Ford Kuga",15995,"2019",42408,"Diesel","Manual","TheAA"
"Kia Niro",16435,"2022",56201,"Hybrid","Automatic","TheAA"
"Ford Transit Custom",16500,"2021",35824,"Diesel","Manual","TheAA"
"Peugeot Partner",16750,"2024",201,"Diesel","Manual","TheAA"
"BMW 1 Series",16941,"2020",17637,"Petrol","Manual","TheAA"
"Ford Puma",16964,"2023",17490,"Petrol","Manual","TheAA"
"Ford Transit Custom",17000,"2021",21026,"Diesel","Manual","TheAA"
"Kia Xceed",17216,"2023",25458,"Petrol","Manual","TheAA"
"Ford Focus",17299,"2022",16874,"Petrol","Manual","TheAA"
"Kia Pro Ceed",17437,"2023",25106,"Petrol","Manual","TheAA"
"Ford Transit",17500,"2021",11968,"Diesel","Manual","TheAA"
"Renault Clio",17568,"2023",19102,"Hybrid","Automatic","TheAA"
"Ford Galaxy",17641,"2021",55518,"Diesel","Automatic","TheAA"
"Ford Focus",17653,"2023",6960,"Petrol","Manual","TheAA"
"Volkswagen T-Roc",17927,"2022",31186,"Petrol","Manual","TheAA"
"Ford Transit Custom",18000,"2021",46003,"Diesel","Automatic","TheAA"
"Ford Focus",18085,"2022",16301,"Petrol","Manual","TheAA"
"Peugeot 2008",18144,"2023",21734,"Petrol","Automatic","TheAA"
"Skoda Kamiq",18174,"2023",33861,"Petrol","Automatic","TheAA"
"Ford Transit",18500,"2021",23454,"Diesel","Manual","TheAA"
"MG HS",18547,"2023",20027,"Petrol/plugin elec h","Automatic","TheAA"
"Ford Transit Custom",19000,"2021",67625,"Diesel","Automatic","TheAA"
"Mazda CX-5",19954,"2022",25760,"Petrol","Manual","TheAA"
"Ford Focus",20433,"2023",6631,"Petrol","Automatic","TheAA"
"Toyota RAV4",22150,"2021",44600,"Hybrid","Automatic","TheAA"
"Ford Ranger",23500,"2022",29000,"Diesel","Automatic","TheAA"
"Ford Tourneo Custom",23500,"2020",52743,"Diesel","Automatic","TheAA"
"Nissan Qashqai",24330,"2023",22483,"Hybrid","Automatic","TheAA"
"Ford Transit",24500,"2024",234,"Diesel","Manual","TheAA"
"Ford Puma",24696,"2024",2178,"Petrol","Automatic","TheAA"
"Ford Puma",24696,"2024",2928,"Petrol","Automatic","TheAA"
"Ford Puma",24696,"2024",2127,"Petrol","Automatic","TheAA"
"Ford Transit Custom",24750,"2024",15765,"Diesel","Manual","TheAA"
"Ford Transit Custom",26500,"2022",24546,"Diesel","Automatic","TheAA"
"Audi Q3",27415,"2020",19202,"Petrol","Automatic","TheAA"
"Ford Transit Custom",27500,"2021",32164,"Diesel","Manual","TheAA"
"Ford Transit Custom",29000,"2024",2747,"Diesel","Automatic","TheAA"
"Ford Transit Custom",29000,"2024",3346,"Diesel","Automatic","TheAA"
"Ford Transit",29000,"2024",7085,"Diesel","Manual","TheAA"
"Ford Transit",29000,"2024",6267,"Diesel","Manual","TheAA"
"Ford Transit Custom",29000,"2024",1630,"Electric","Automatic","TheAA"
"Ford Transit Custom",31000,"2023",25000,"Diesel","Automatic","TheAA"
"Ford Transit",32000,"2024",3696,"Diesel","Automatic","TheAA"
"Ford Transit Custom",32500,"2024",2729,"Diesel","Automatic","TheAA"
"Ford Transit Custom",33000,"2024",5494,"Diesel","Automatic","TheAA"
"Ford Explorer",35724,"2024",1357,"Electric","Automatic","TheAA"
"Ford Ranger",38000,"2023",22000,"Diesel","Automatic","TheAA"
"Ford Ranger",38500,"2024",10961,"Diesel","Automatic","TheAA"
"Ford Capri",39396,"2024",745,"Electric","Automatic","TheAA"
"Ford Capri",42382,"2024",387,"Electric","Automatic","TheAA"
"Audi Q3",13950,"2018",66313,"Diesel","Manual","TheAA"
"Audi Q2",15082,"2018",53531,"Petrol","Automatic","TheAA"
"Audi Q2",16500,"2022",37688,"Petrol","Manual","TheAA"
"Audi Q5",17250,"2017",96819,"Diesel","Automatic","TheAA"
"Audi A5",18379,"2019",63534,"Petrol","Automatic","TheAA"
"Audi A1",18889,"2022",6349,"Petrol","Manual","TheAA"
"Audi A4",19333,"2020",34210,"Petrol","Manual","TheAA"
"Audi A3",19450,"2021",32498,"Diesel","Automatic","TheAA"
"Audi A3",19844,"2022",18645,"Petrol","Automatic","TheAA"
"Volkswagen T-Roc",20500,"2020",20635,"Petrol","Automatic","TheAA"
"Audi A6",20798,"2021",60990,"Petrol","Automatic","TheAA"
"Audi A3",21183,"2022",31158,"Petrol","Automatic","TheAA"
"Audi A1",21950,"2024",2500,"Petrol","Manual","TheAA"
"Audi Q2",22155,"2023",16440,"Petrol","Manual","TheAA"
"Audi A1",22527,"2023",8000,"Petrol","Manual","TheAA"
"Audi A4",23450,"2022",28700,"Petrol","Automatic","TheAA"
"Audi A1",23647,"2023",11405,"Petrol","Manual","TheAA"
"Audi A1",23750,"2024",5255,"Petrol","Manual","TheAA"
"Audi A5",23950,"2021",54885,"Petrol","Automatic","TheAA"
"Audi A4",24141,"2021",27065,"Diesel","Automatic","TheAA"
"Audi A1",24402,"2022",10019,"Petrol","Automatic","TheAA"
"Audi Q2",24605,"2024",7985,"Petrol","Manual","TheAA"
"Audi TT",24990,"2020",31204,"Petrol","Automatic","TheAA"
"Audi Q4",25250,"2021",34104,"Electric","Automatic","TheAA"
"Audi A4",25366,"2021",20230,"Diesel","Automatic","TheAA"
"Audi TT",25400,"2021",17746,"Petrol","Automatic","TheAA"
"Audi Q5",25863,"2017",73396,"Petrol","Automatic","TheAA"
"Audi Q2",25990,"2024",3168,"Petrol","Manual","TheAA"
"Audi Q3",27861,"2022",37585,"Petrol","Automatic","TheAA"
"Audi A5",28235,"2024",5223,"Petrol","Automatic","TheAA"
"Audi A5",28650,"2022",17378,"Petrol","Automatic","TheAA"
"Audi Q5",28694,"2017",44522,"Petrol","Automatic","TheAA"
"Audi Q2",29950,"2023",9343,"Petrol","Manual","TheAA"
"Audi A3",31340,"2022",21287,"Petrol","Automatic","TheAA"
"Audi A3",31792,"2022",22821,"Petrol","Automatic","TheAA"
"Audi A3",31950,"2024",3500,"Petrol","Manual","TheAA"
"Audi A3",31950,"2024",3000,"Petrol","Manual","TheAA"
"Audi A5",32450,"2024",6985,"Petrol","Automatic","TheAA"
"Audi Q7",32750,"2019",62500,"Diesel","Automatic","TheAA"
"Audi A5",33087,"2023",7081,"Petrol","Automatic","TheAA"
"Audi Q3",34400,"2023",8802,"Petrol","Automatic","TheAA"
"Audi A5",35250,"2024",5268,"Petrol","Automatic","TheAA"
"Audi A7",35718,"2023",39581,"Diesel","Automatic","TheAA"
"Audi A6",36950,"2024",6985,"Petrol","Automatic","TheAA"
"Audi Q5",37433,"2023",40749,"Diesel","Automatic","TheAA"
"Audi TT",38302,"2022",13403,"Petrol","Automatic","TheAA"
"Audi Q5",38490,"2024",7985,"Petrol","Automatic","TheAA"
"Audi Q5",39241,"2023",10347,"Petrol","Automatic","TheAA"
"Audi Q5",39266,"2024",8985,"Diesel","Automatic","TheAA"
"Audi Q3",39450,"2024",3000,"Petrol","Automatic","TheAA"
"Audi Q5",39450,"2024",6985,"Plug-in hybrid (phev","Automatic","TheAA"
"Audi Q7",39990,"2021",39932,"Diesel","Automatic","TheAA"
"Audi A6",39990,"2022",22500,"Petrol","Automatic","TheAA"
"Audi Q4",40950,"2024",12150,"Electric","Automatic","TheAA"
"Audi Q4",41727,"2024",5985,"Electric","Automatic","TheAA"
"Audi Q5",42400,"2022",14090,"Petrol","Automatic","TheAA"
"Audi A4",42450,"2022",11639,"Diesel","Automatic","TheAA"
"Audi Q5",42950,"2024",7618,"Petrol","Automatic","TheAA"
"Audi Q4",43450,"2024",7985,"Electric","Automatic","TheAA"
"Audi Q5",43950,"2023",3065,"Plug-in hybrid (phev","Automatic","TheAA"
"Audi Q8",45305,"2021",44977,"Diesel","Automatic","TheAA"
"Audi Q4",45950,"2024",3000,"Electric","Automatic","TheAA"
"Audi Q7",45950,"2022",13972,"Petrol","Automatic","TheAA"
"Audi Q5",46916,"2024",5078,"Petrol","Automatic","TheAA"
"Audi A5",46964,"2022",29066,"Diesel","Automatic","TheAA"
"Audi Q4",46990,"2024",3001,"Electric","Automatic","TheAA"
"Audi Q8",47653,"2021",33580,"Diesel","Automatic","TheAA"
"Audi RS3",47801,"2022",19121,"Petrol","Automatic","TheAA"
"Audi A5",49950,"2024",1251,"Diesel","Automatic","TheAA"
"Audi Q5",49990,"2023",8750,"Diesel","Automatic","TheAA"
"Audi Q4",52950,"2024",10615,"Electric","Automatic","TheAA"
"Audi Q8",53950,"2024",5985,"Electric","Automatic","TheAA"
"Audi Q6",65950,"2024",7180,"Electric","Automatic","TheAA"
"Audi Rs6",80310,"2021",22772,"Petrol","Automatic","TheAA"
"Audi Rs Q8",83077,"2021",26344,"Petrol","Automatic","TheAA"
"Renault Captur",8549,"2016",28800,"Diesel","Manual","TheAA"
"Renault Clio",8939,"2019",37077,"Petrol","Manual","TheAA"
"Renault Zoe",9428,"2020",16082,"Electric","Automatic","TheAA"
"Renault Zoe",9774,"2020",29349,"Electric","Automatic","TheAA"
"Renault Captur",10062,"2019",30639,"Petrol","Manual","TheAA"
"Nissan Micra",10317,"2022",13824,"Petrol","Manual","TheAA"
"Dacia Sandero Stepway",10963,"2021",12060,"Petrol","Manual","TheAA"
"Dacia Sandero Stepway",11645,"2021",25148,"Petrol","Manual","TheAA"
"Dacia Sandero Stepway",12195,"2023",9508,"Petrol","Manual","TheAA"
"Dacia Sandero",12261,"2023",7258,"Hybrid","Manual","TheAA"
"Volkswagen Polo",12273,"2019",39568,"Petrol","Manual","TheAA"
"MG ZS",12543,"2019",17248,"Petrol","Semiauto","TheAA"
"Renault Clio",12563,"2021",9104,"Petrol","Manual","TheAA"
"Nissan Juke",12799,"2022",21373,"Petrol","Manual","TheAA"
"Mazda CX-3",12963,"2019",38282,"Petrol","Manual","TheAA"
"Renault Clio",12984,"2021",14288,"Petrol","Manual","TheAA"
"Nissan Qashqai",12996,"2021",41745,"Hybrid","Manual","TheAA"
"Dacia Duster",13004,"2021",18888,"Petrol","Manual","TheAA"
"Vauxhall Crossland",13460,"2022",17457,"Petrol","Manual","TheAA"
"Hyundai IONIQ",13723,"2020",38716,"Hybrid","Automatic","TheAA"
"Renault Captur",14153,"2021",6631,"Petrol","Manual","TheAA"
"Renault Clio",14378,"2021",21139,"Hybrid","Automatic","TheAA"
"Dacia Duster",15199,"2022",18893,"Petrol","Manual","TheAA"
"MG HS",15314,"2022",28010,"Petrol","Manual","TheAA"
"Renault Captur",16657,"2022",11713,"Petrol","Manual","TheAA"
"Renault Captur",16739,"2024",11670,"Petrol","Manual","TheAA"
"Renault Captur",16739,"2024",11670,"Petrol","Manual","TheAA"
"Renault Captur",16777,"2024",11187,"Petrol","Manual","TheAA"
"Renault Captur",16779,"2024",11224,"Petrol","Manual","TheAA"
"Renault Captur",16786,"2024",11075,"Petrol","Manual","TheAA"
"Peugeot 208",16815,"2021",16667,"Petrol","Semiauto","TheAA"
"Kia Ceed",16838,"2021",18700,"Petrol","Manual","TheAA"
"Renault Captur",16932,"2024",9298,"Petrol","Manual","TheAA"
"Dacia Journey",17097,"2024",11309,"Petrol","Manual","TheAA"
"Renault Captur",17171,"2024",17601,"Hybrid","Automatic","TheAA"
"Renault Arkana",17349,"2021",31128,"Hybrid","Semiauto","TheAA"
"Renault Captur",17376,"2022",8415,"Hybrid","Automatic","TheAA"
"Dacia Journey",17412,"2024",7635,"Petrol","Manual","TheAA"
"Peugeot 2008",17483,"2020",18827,"Petrol","Semiauto","TheAA"
"Renault Megane E Tech",18236,"2023",32570,"Electric","Automatic","TheAA"
"Kia Stonic",19292,"2023",6802,"Petrol","Automatic","TheAA"
"Renault Arkana",19546,"2023",3509,"Hybrid","Semiauto","TheAA"
"Volkswagen Polo GTI",19960,"2022",28810,"Petrol","Semiauto","TheAA"
"Renault Captur",20089,"2024",12079,"Hybrid","Automatic","TheAA"
"Renault Megane E Tech",20346,"2024",14471,"Electric","Automatic","TheAA"
"Renault Captur",20545,"2024",4291,"Petrol","Manual","TheAA"
"Renault Captur",20606,"2024",1916,"Hybrid","Automatic","TheAA"
"Nissan Juke",20755,"2024",5,"Hybrid","Automatic","TheAA"
"Renault Megane E Tech",21774,"2024",17606,"Electric","Automatic","TheAA"
"BMW 1 Series",24357,"2022",12000,"Petrol","Semiauto","TheAA"
"Renault Austral",25609,"2024",9039,"Hybrid","Semiauto","TheAA"
"Toyota C-HR",26951,"2024",7339,"Hybrid","Automatic","TheAA"
"Jaguar I-Pace",17988,"2018",29984,"Electric","Automatic","TheAA"
"Jaguar E-Pace",19790,"2020",43907,"Petrol","Automatic","TheAA"
"Jaguar I-Pace",22150,"2019",31391,"Electric","Automatic","TheAA"
"Land Rover Range Rover Evoque",23504,"2021",30946,"Diesel","Automatic","TheAA"
"Jaguar F-Pace",25744,"2020",42777,"Diesel","Automatic","TheAA"
"Land Rover Range Rover Evoque",25996,"2021",17117,"Diesel","Automatic","TheAA"
"Land Rover Range Rover Evoque",26139,"2020",35501,"Diesel","Automatic","TheAA"
"Jaguar E-Pace",26843,"2021",46227,"Diesel","Automatic","TheAA"
"Land Rover Range Rover Evoque",26996,"2022",13636,"Petrol/plugin elec h","Automatic","TheAA"
"Land Rover Range Rover Evoque",27372,"2021",32511,"Diesel","Automatic","TheAA"
"Land Rover Range Rover Evoque",27379,"2021",26371,"Diesel","Automatic","TheAA"
"Land Rover Range Rover Evoque",27666,"2020",21286,"Diesel","Automatic","TheAA"
"Land Rover Discovery Sport",27884,"2021",33498,"Diesel","Automatic","TheAA"
"Land Rover Discovery Sport",27920,"2021",42219,"Diesel","Automatic","TheAA"
"Land Rover Range Rover Evoque",28995,"2020",17265,"Diesel","Automatic","TheAA"
"SEAT Leon 1.5 TSI EVO 150 FR [EZ] 5dr",14199,"2019",15192,"Petrol","Manual  ","Cinch"
"Nissan Qashqai 1.3 DiG-T MH 158 Tekna 5dr Xtronic",22139,"2019",15192,"Petrol","Manual  ","Cinch"
"Mercedes-Benz E-Class E220d AMG Line Premium 2dr 9G-Tronic",23499,"2019",15192,"Petrol","Manual  ","Cinch"
"Mercedes-Benz B-Class B200d AMG Line Executive 5dr Auto",17769,"2019",15192,"Petrol","Manual  ","Cinch"
"Hyundai Tucson 1.7 CRDi Blue Drive SE 5dr 2WD DCT",13099,"2019",15192,"Petrol","Manual  ","Cinch"
"Suzuki Swift 1.4 Boosterjet 48V Hybrid Sport 5dr",16449,"2019",15192,"Petrol","Manual  ","Cinch"
"Toyota RAV4 2.5 VVT-i Hybrid Excel 5dr CVT",22199,"2019",15192,"Petrol","Manual  ","Cinch"
"Vauxhall Corsa 1.2 Turbo SRi Edition 5dr",13649,"2019",15192,"Petrol","Manual  ","Cinch"
"Mercedes-Benz A-Class A200d Sport Premium 5dr Auto",12599,"2019",15192,"Petrol","Manual  ","Cinch"
"Fiat 500 1.0 Mild Hybrid Star [Dolcevita Pack] 3dr",9949,"2019",15192,"Petrol","Manual  ","Cinch"
"Citroen C3 1.2 PureTech 82 Flair 5dr",8599,"2019",15192,"Petrol","Manual  ","Cinch"
"Suzuki Vitara 1.6 SZ-T [Urban Pack] 5dr",8199,"2019",15192,"Petrol","Manual  ","Cinch"
"Ford Fiesta 1.0 EcoBoost 140 ST-Line 3dr",8999,"2019",15192,"Petrol","Manual  ","Cinch"
"MG MG3 1.5 VTi-TECH 3Form Sport 5dr [Start Stop]",6349,"2019",15192,"Petrol","Manual  ","Cinch"
"Vauxhall Corsa 1.4 [75] Griffin 3dr",9449,"2019",15192,"Petrol","Manual  ","Cinch"
"Audi A6 Avant 2.0 TDI Quattro Black Edition 5dr S Tronic",21299,"2019",15192,"Petrol","Manual  ","Cinch"
"smart fortwo cabrio 1.0 Prime 2dr Auto",10149,"2019",15192,"Petrol","Manual  ","Cinch"
"Citroen Grand C4 SpaceTourer 1.2 PureTech 130 Touch Edition 5dr",11799,"2019",15192,"Petrol","Manual  ","Cinch"
"Toyota Aygo 1.0 VVT-i X-Trend 5dr",9299,"2019",15192,"Petrol","Manual  ","Cinch"
"Fiat Panda 1.2 Pop 5dr",6499,"2019",15192,"Petrol","Manual  ","Cinch"
"BMW 4 Series 430i M Sport 2dr Auto [Professional Media]",19199,"2019",15192,"Petrol","Manual  ","Cinch"
"Volvo XC40 1.5 T4 RC PHEV Inscription Expression 5dr Auto",20299,"2019",15192,"Petrol","Manual  ","Cinch"
"Suzuki Vitara 1.0 Boosterjet SZ-T 5dr",11799,"2019",15192,"Petrol","Manual  ","Cinch"
"Volkswagen Tiguan 2.0 TDi 150 R-Line Tech 5dr DSG",21099,"2019",15192,"Petrol","Manual  ","Cinch"
"Volkswagen up! 1.0 High Up 5dr",9549,"2019",15192,"Petrol","Manual  ","Cinch"
"Vauxhall Crossland 1.2 Turbo [130] Elite Edition 5dr",13849,"2019",15192,"Petrol","Manual  ","Cinch"
"Nissan Juke 1.0 DiG-T 114 N-Connecta 5dr",12599,"2019",15192,"Petrol","Manual  ","Cinch"
"MINI Countryman 1.5 Cooper S E Classic ALL4 PHEV 5dr Auto",16699,"2019",15192,"Petrol","Manual  ","Cinch"
"SEAT Ateca 1.5 TSI EVO FR Sport [EZ] 5dr DSG",17399,"2019",15192,"Petrol","Manual  ","Cinch"
"Volkswagen Golf 99kW e-Golf 35kWh 5dr Auto",10349,"2019",15192,"Petrol","Manual  ","Cinch"
"Volkswagen Tiguan 2.0 TDi 150 4Motion SE Nav 5dr DSG",16799,"2019",15192,"Petrol","Manual  ","Cinch"
"Renault ZOE 100kW GT Line + R135 50kWh Rapid Charge 5dr Auto",13049,"2019",15192,"Petrol","Manual  ","Cinch"
"Audi A1 30 TFSI S Line 5dr",14649,"2019",57771,"Petrol",NA,"Cinch"
"Renault Captur 0.9 TCE 90 Dynamique S Nav 5dr",10499,"2019",57771,"Petrol",NA,"Cinch"
"Volkswagen T-Roc 2.0 TSI 4MOTION SEL 5dr DSG",19049,"2019",57771,"Petrol",NA,"Cinch"
"Jeep Compass 2.0 Multijet 140 Longitude 5dr",11699,"2019",57771,"Petrol",NA,"Cinch"
"Vauxhall Mokka X 1.4T Griffin 5dr",9249,"2019",57771,"Petrol",NA,"Cinch"
"Audi A3 30 TFSI Sport 5dr S Tronic [Comfort+Sound]",18949,"2019",57771,"Petrol",NA,"Cinch"
"Volkswagen Passat 1.6 TDI SE Business 5dr DSG",11399,"2019",57771,"Petrol",NA,"Cinch"
"Renault ZOE 100kW GT Line + R135 50kWh Rapid Charge 5dr Auto",13799,"2019",57771,"Petrol",NA,"Cinch"
"Audi A6 45 TFSI 265 Quattro Sport 4dr S Tronic",23999,"2019",57771,"Petrol",NA,"Cinch"
"Volkswagen Golf 1.5 TSI EVO 150 R-Line 5dr DSG",17899,"2019",57771,"Petrol",NA,"Cinch"
"Nissan Juke 1.0 DiG-T Tekna+ 5dr DCT",15449,"2019",57771,"Petrol",NA,"Cinch"
"Land Rover Discovery Sport 2.0 TD4 180 HSE Dynamic Lux 5dr Auto",18749,"2019",57771,"Petrol",NA,"Cinch"
"Hyundai i10 1.0 MPi SE Connect 5dr Auto",13449,"2019",57771,"Petrol",NA,"Cinch"
"Nissan Qashqai 1.6 dCi Tekna 5dr Xtronic",12799,"2019",57771,"Petrol",NA,"Cinch"
